"SizeGB","SizeMB","LastWriteTime","DirectoryName","FullName"
"0.15","155.47","2025/10/8 8:12:33","C:\Users\fy\AppData\Local\Microsoft\Edge\User Data\component_crx_cache","C:\Users\fy\AppData\Local\Microsoft\Edge\User Data\component_crx_cache\f081de18a604e95a175eaf4dd91b35b7f17ad4de24ee2f20eeb034c979bbcccb"
"0.15","150.88","2026/4/25 18:50:07","C:\Users\fy\AppData\Local\Temp\vscode-stable-user-x64","C:\Users\fy\AppData\Local\Temp\vscode-stable-user-x64\CodeSetup-stable-10c8e557c8b9f9ed0a87f61f1c9a44bde731c409.exe"
"0.14","142.05","2026/3/11 10:06:32","C:\Users\fy\AppData\Roaming\cxstudy\files\setup","C:\Users\fy\AppData\Roaming\cxstudy\files\setup\study_ia32_1.4.0_202601191734_update.exe"
"0.13","135.88","2026/4/25 18:14:06","C:\Users\fy\AppData\Local\CrashDumps","C:\Users\fy\AppData\Local\CrashDumps\NRC-Win64-Shipping.exe.101408.dmp"
"0.13","131.5","2026/3/10 22:46:48","C:\Program Files (x86)\InstallShield Installation Information\{339A6383-7862-46DA-8A9D-E84180EF9424}","C:\Program Files (x86)\InstallShield Installation Information\{339A6383-7862-46DA-8A9D-E84180EF9424}\data2.cab"
"0.13","130.33","2026/4/10 13:16:15","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup\mpasbase.vdm"
"0.13","130.33","2026/4/10 13:16:15","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{889EEA63-4F0E-4800-A193-0F6D410F303C}","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{889EEA63-4F0E-4800-A193-0F6D410F303C}\mpasbase.vdm"
"0.13","130.2","2026/4/17 14:19:25","C:\Users\fy\AppData\Local\cherrystudio-updater","C:\Users\fy\AppData\Local\cherrystudio-updater\installer.exe"
"0.13","128.79","2026/3/26 12:53:45","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup","C:\ProgramData\Microsoft\Windows Defender\Definition Updates\Backup\mpasbase.lkg"
"0.13","128","2026/4/23 20:52:22","C:\Windows","C:\Windows\392667600.dat"
"0.12","118.27","2024/4/27 21:04:49","C:\Users\fy\OneDrive\视频\bilibili\1511364185","C:\Users\fy\OneDrive\视频\bilibili\1511364185\1511364185-1-30116.m4s"
"0.11","115.44","2024/10/16 22:09:36","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvdxdlkernels.dll"
"0.11","111.64","2024/10/16 21:39:02","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvoptix.bin"
"0.11","109.21","2026/4/14 13:29:30","C:\Users\fy\AppData\Local\pip\cache\http-v2\d\a\2\4\b","C:\Users\fy\AppData\Local\pip\cache\http-v2\d\a\2\4\b\da24b99a5012cacc25705dde84fd11842fa83035f0e36790be5c6132.body"
"0.11","109.18","2024/10/16 22:12:16","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvrtum64.dll"
"0.11","108.45","2026/3/11 12:23:15","C:\Users\fy\AppData\Local\pip\cache\http-v2\f\c\b\6\a","C:\Users\fy\AppData\Local\pip\cache\http-v2\f\c\b\6\a\fcb6a0a71da711c35406dd84bebe4cf9672563227558c25caf776f6f.body"
"0.11","108.14","2024/10/16 21:38:44","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\libnvdxdlkernels.so"
"0.11","108.14","2024/7/10 2:13:54","C:\Windows\System32\lxss\lib","C:\Windows\System32\lxss\lib\libnvdxdlkernels.so"
"0.1","105.08","2026/4/26 1:06:24","C:\Users\fy\AppData\Local\D3DSCache\31b02efebba2ab1e","C:\Users\fy\AppData\Local\D3DSCache\31b02efebba2ab1e\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.dxcache"
"0.1","100.87","2024/5/9 6:01:30","C:\Windows\System32\DriverStore\FileRepository\amdocl.inf_amd64_7b4e64250e49ad58","C:\Windows\System32\DriverStore\FileRepository\amdocl.inf_amd64_7b4e64250e49ad58\amd_comgr.dll"
"0.1","100.87","2024/5/9 6:01:30","C:\Windows\System32","C:\Windows\System32\amd_comgr.dll"
"0.1","99.27","2026/4/26 2:43:49","C:\Users\fy\.codex","C:\Users\fy\.codex\logs_2.sqlite"
"0.1","99.03","2024/5/9 6:01:36","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\amdxc64.so"
"0.1","99.03","2024/5/9 6:01:36","C:\Windows\System32","C:\Windows\System32\amdxc64.so"
"0.09","96.19","2026/4/22 23:33:18","C:\Program Files\Microsoft OneDrive\26.055.0323.0004","C:\Program Files\Microsoft OneDrive\26.055.0323.0004\OneDriveSetup.exe"
"0.09","95.13","2024/5/9 6:01:32","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\amdkmdag.sys"
"0.09","91.19","2024/5/9 6:01:34","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\amdvlk64.dll"
"0.09","91","2026/4/25 21:44:44","C:\Users\fy\AppData\Local\NRC\Saved\ProgramBinaryCache","C:\Users\fy\AppData\Local\NRC\Saved\ProgramBinaryCache\D3DDriverByteCodeBlob_V4318_D9698_S989992874_R161.ushaderprecache"
"0.09","87.45","2026/4/23 23:17:03","C:\Users\fy\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\site-packages\artifact_tool_v2\bin","C:\Users\fy\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\site-packages\artifact_tool_v2\bin\artifact_tool_rpc_daemon.exe"
"0.09","87.15","2026/2/24 9:34:24","C:\Users\fy\.cache\codex-runtimes\codex-primary-runtime\dependencies\node\bin","C:\Users\fy\.cache\codex-runtimes\codex-primary-runtime\dependencies\node\bin\node.exe"
"0.09","87.15","2026/4/25 18:08:31","C:\Users\fy\AppData\Local\Packages\OpenAI.Codex_2p2nqsd0c76g0\LocalCache\Local\OpenAI\Codex\bin","C:\Users\fy\AppData\Local\Packages\OpenAI.Codex_2p2nqsd0c76g0\LocalCache\Local\OpenAI\Codex\bin\node.exe"
"0.08","87","2026/4/24 16:48:05","C:\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}","C:\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb"
"0.08","86.82","2026/4/12 0:22:00","C:\Windows\System32\SecureBootUpdates","C:\Windows\System32\SecureBootUpdates\BucketConfidenceData.cab"
"0.08","86.82","2026/4/12 0:22:00","C:\Windows\WinSxS\amd64_microsoft-windows-s..boot-firmwareupdate_31bf3856ad364e35_10.0.26100.8246_none_50a125d5b575d994","C:\Windows\WinSxS\amd64_microsoft-windows-s..boot-firmwareupdate_31bf3856ad364e35_10.0.26100.8246_none_50a125d5b575d994\BucketConfidenceData.cab"
"0.08","85.61","2025/9/16 3:40:05","C:\Windows\WinSxS\amd64_microsoft-windows-onedrive-setup_31bf3856ad364e35_10.0.26100.5074_none_c1340e9ad5f0a5d0","C:\Windows\WinSxS\amd64_microsoft-windows-onedrive-setup_31bf3856ad364e35_10.0.26100.5074_none_c1340e9ad5f0a5d0\OneDriveSetup.exe"
"0.08","85.61","2025/9/16 3:40:05","C:\Windows\System32","C:\Windows\System32\OneDriveSetup.exe"
"0.08","85.02","2024/5/9 6:01:32","C:\Windows\System32\DriverStore\FileRepository\amdocl.inf_amd64_7b4e64250e49ad58","C:\Windows\System32\DriverStore\FileRepository\amdocl.inf_amd64_7b4e64250e49ad58\amd_comgr32.dll"
"0.08","85.02","2024/5/9 6:01:32","C:\Windows\SysWOW64","C:\Windows\SysWOW64\amd_comgr32.dll"
"0.08","84.77","2024/10/16 22:09:20","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvwgf2umx.dll"
"0.08","84","2026/4/25 21:10:32","C:\Users\fy\AppData\Local\NRC\Saved\ProgramBinaryCache","C:\Users\fy\AppData\Local\NRC\Saved\ProgramBinaryCache\D3DGraphics_V4318_D9698_S989992874_R161.ushaderprecache"
"0.08","81.69","2026/3/29 13:02:52","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\DataModelv16","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\DataModelv16\msmdlocal_xl.dll"
"0.08","80.15","2026/3/29 13:03:33","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX64\Microsoft Analysis Services\AS OLEDB\140","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX64\Microsoft Analysis Services\AS OLEDB\140\msmdlocal.dll"
"0.08","79.93","2024/5/9 6:01:34","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\amdvlk32.dll"
"0.08","79.4","2026/4/23 13:26:03","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\MSORES.DLL"
"0.08","79.4","2026/4/23 13:26:39","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\MSORES.DLL"
"0.08","79.36","2026/4/13 11:32:51","C:\Users\fy\AppData\Local\ms-playwright-go\1.50.1","C:\Users\fy\AppData\Local\ms-playwright-go\1.50.1\node.exe"
"0.08","79.05","2026/3/6 21:44:04","C:\Windows\WinSxS\amd64_microsoft-windows-s..boot-firmwareupdate_31bf3856ad364e35_10.0.26100.8036_none_50b5c563b566885b","C:\Windows\WinSxS\amd64_microsoft-windows-s..boot-firmwareupdate_31bf3856ad364e35_10.0.26100.8036_none_50b5c563b566885b\BucketConfidenceData.cab"
"0.07","72.38","2026/4/23 13:24:17","C:\Program Files\Microsoft Office\root\Office16","C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
"0.07","71.39","1980/1/1 8:00:00","C:\Users\fy\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\40\63922A0C010C80A5\1F1F009A8137FE24","C:\Users\fy\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\40\63922A0C010C80A5\1F1F009A8137FE24\ts.bin"
"0.07","70.17","2024/5/9 6:01:38","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\atio6axx.dll"
"0.07","69.21","2024/5/9 6:01:36","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243","C:\Windows\System32\DriverStore\FileRepository\u0395565.inf_amd64_952d340e4545144e\B395243\amdxc64.dll"
"0.07","66.91","2026/4/12 3:12:20","C:\Program Files\Riot Vanguard","C:\Program Files\Riot Vanguard\vgk.sys"
"0.06","66.04","2024/5/9 6:01:30","C:\Windows\System32\DriverStore\FileRepository\amdocl.inf_amd64_7b4e64250e49ad58","C:\Windows\System32\DriverStore\FileRepository\amdocl.inf_amd64_7b4e64250e49ad58\amdhsail64.dll"
"0.06","65.18","2024/10/16 22:13:42","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\nvvm64.dll"
"0.06","64.78","2024/10/16 21:38:44","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa","C:\Windows\System32\DriverStore\FileRepository\nvlt.inf_amd64_aadc33586c05acfa\libnvwgf2umx.so"
"0.06","64.78","2024/7/10 2:13:56","C:\Windows\System32\lxss\lib","C:\Windows\System32\lxss\lib\libnvwgf2umx.so"
"0.06","64.73","2026/4/14 15:56:46","C:\Users\fy\.antigravity\extensions\meta.pyrefly-0.61.0-win32-x64\bin","C:\Users\fy\.antigravity\extensions\meta.pyrefly-0.61.0-win32-x64\bin\pyrefly.pdb"
"0.06","64.58","2026/3/26 12:43:54","C:\Users\fy\AppData\Roaming\bilibili\resource","C:\Users\fy\AppData\Roaming\bilibili\resource\b9db21dd8073f771.asar"
